shift_cm_inverse,intensity
1202.7,0.4253
1205.5,0.4262
1208.2,0.4262
1211.0,0.4262
1213.7,0.4262
1216.4,0.4262
1219.2,0.4262
1221.9,0.4262
1224.7,0.4262
1227.4,0.4262
1230.1,0.4262
1232.9,0.4262
1235.6,0.4262
1238.4,0.4262
1241.1,0.4262
1243.8,0.4262
1246.6,0.4262
1249.3,0.4262
1252.1,0.4262
1254.8,0.4262
1257.5,0.4262
1260.3,0.4262
1263.0,0.4262
1265.8,0.4262
1268.5,0.4262
1271.2,0.4262
1274.0,0.4262
1276.7,0.4262
1279.5,0.4262
1282.2,0.4262
1284.9,0.4262
1287.7,0.4262
1290.4,0.4262
1293.2,0.4270
1295.9,0.4270
1298.6,0.4279
1301.4,0.4279
1304.1,0.4279
1306.8,0.4279
1309.6,0.4279
1312.3,0.4279
1315.1,0.4279
1317.8,0.4295
1320.5,0.4295
1323.3,0.4312
1326.0,0.4320
1328.8,0.4354
1331.5,0.4404
1334.2,0.4513
1337.0,0.4606
1339.7,0.4782
1342.5,0.4857
1345.2,0.4992
1347.9,0.4950
1350.7,0.4832
1353.4,0.4715
1356.2,0.4597
1358.9,0.4505
1361.6,0.4446
1364.4,0.4388
1367.1,0.4346
1369.9,0.4320
1372.6,0.4312
1375.3,0.4295
1378.1,0.4295
1380.8,0.4287
1383.6,0.4279
1386.3,0.4279
1389.0,0.4279
1391.8,0.4279
1394.5,0.4279
1397.3,0.4279
1400.0,0.4270
1402.7,0.4270
1405.5,0.4270
1408.2,0.4270
1411.0,0.4270
1413.7,0.4270
1416.4,0.4262
1419.2,0.4262
1421.9,0.4262
1424.7,0.4262
1427.4,0.4262
1430.1,0.4262
1432.9,0.4262
1435.6,0.4262
1438.4,0.4262
1441.1,0.4262
1443.8,0.4262
1446.6,0.4262
1449.3,0.4262
1452.1,0.4262
1454.8,0.4262
1457.5,0.4262
1460.3,0.4262
1463.0,0.4262
1465.8,0.4262
1468.5,0.4262
1471.2,0.4262
1474.0,0.4262
1476.7,0.4262
1479.5,0.4262
1482.2,0.4262
1484.9,0.4262
1487.7,0.4262
1490.4,0.4262
1493.2,0.4262
1495.9,0.4262
1498.6,0.4262
1501.4,0.4262
1504.1,0.4270
1506.8,0.4270
1509.6,0.4270
1512.3,0.4270
1515.1,0.4270
1517.8,0.4270
1520.5,0.4270
1523.3,0.4270
1526.0,0.4279
1528.8,0.4279
1531.5,0.4279
1534.2,0.4279
1537.0,0.4279
1539.7,0.4279
1542.5,0.4279
1545.2,0.4279
1547.9,0.4279
1550.7,0.4279
1553.4,0.4287
1556.2,0.4295
1558.9,0.4295
1561.6,0.4304
1564.4,0.4312
1567.1,0.4320
1569.9,0.4362
1572.6,0.4396
1575.3,0.4471
1578.1,0.4539
1580.8,0.4631
1583.6,0.4681
1586.3,0.4690
1589.0,0.4631
1591.8,0.4539
1594.5,0.4455
1597.3,0.4396
1600.0,0.4354
1602.7,0.4337
1605.5,0.4320
1608.2,0.4312
1611.0,0.4312
1613.7,0.4304
1616.4,0.4295
1619.2,0.4312
1621.9,0.4329
1624.7,0.4346
1627.4,0.4354
1630.1,0.4329
1632.9,0.4295
1635.6,0.4279
1638.4,0.4279
1641.1,0.4270
1643.8,0.4270
1646.6,0.4270
1649.3,0.4262
1652.1,0.4262
1654.8,0.4262
1657.5,0.4262
1660.3,0.4262
1663.0,0.4262
1665.8,0.4262
1668.5,0.4262
1671.2,0.4262
1674.0,0.4262
1676.7,0.4262
1679.5,0.4262
1682.2,0.4262
1684.9,0.4262
1687.7,0.4262
1690.4,0.4262
1693.2,0.4262
1695.9,0.4262
1698.6,0.4262
1701.4,0.4262
1704.1,0.4262
1706.8,0.4262
1709.6,0.4262
1712.3,0.4262
1715.1,0.4262
1717.8,0.4262
1720.5,0.4262
1723.3,0.4262
1726.0,0.4262
1728.8,0.4262
1731.5,0.4262
1734.2,0.4262
1737.0,0.4262
1739.7,0.4262
1742.5,0.4262
1745.2,0.4262
1747.9,0.4262
1750.7,0.4262
1753.4,0.4262
1756.2,0.4262
1758.9,0.4262
1761.6,0.4262
1764.4,0.4262
1767.1,0.4262
1769.9,0.4262
1772.6,0.4262
1775.3,0.4262
1778.1,0.4262
1780.8,0.4262
1783.6,0.4262
1786.3,0.4262
1789.0,0.4262
1791.8,0.4262
1794.5,0.4262
1797.3,0.4262
1800.0,0.4262
1802.7,0.4262
1805.5,0.4262
1808.2,0.4262
1811.0,0.4262
1813.7,0.4262
1816.4,0.4262
1819.2,0.4262
