shift_cm_inverse,intensity
94.5,109.214
101.0,109.214
107.5,109.214
114.0,109.214
120.5,108.701
127.0,108.187
133.5,108.187
140.0,108.701
146.5,108.187
153.0,108.187
159.5,108.187
166.1,108.187
172.6,105.105
179.1,105.105
185.6,106.646
192.1,106.132
198.6,106.646
205.1,108.187
211.6,109.214
218.1,108.701
224.6,108.187
231.1,106.646
237.6,105.105
244.1,107.160
250.6,107.673
257.1,108.701
263.6,108.187
270.1,107.673
276.6,106.646
283.1,106.646
289.6,106.646
296.1,107.160
302.6,107.673
309.1,107.673
315.6,106.646
322.1,108.701
328.6,109.214
335.1,108.187
341.6,107.160
348.1,107.673
354.6,108.187
361.1,107.160
367.6,107.160
374.1,107.160
380.6,108.187
387.1,108.187
393.6,108.187
400.1,108.187
406.6,107.160
413.1,107.160
419.7,108.187
426.2,107.673
432.7,107.673
439.2,107.160
445.7,107.160
452.2,106.132
458.7,106.132
465.2,107.160
471.7,109.728
478.2,110.755
484.7,110.242
491.2,106.646
497.7,107.160
504.2,106.646
510.7,106.132
517.2,106.646
523.7,106.132
530.2,106.646
536.7,106.132
543.2,106.132
549.7,105.619
556.2,107.673
562.7,106.646
569.2,106.132
575.7,106.132
582.2,106.132
588.7,106.132
595.2,106.646
601.7,106.132
608.2,105.619
614.7,106.132
621.2,107.673
627.7,107.160
634.2,106.646
640.7,107.160
647.2,107.160
653.7,106.646
660.2,106.646
666.7,107.673
673.2,107.160
679.8,106.646
686.3,106.646
692.8,107.160
699.3,107.160
705.8,106.132
712.3,106.646
718.8,106.646
725.3,107.160
731.8,107.160
738.3,106.646
744.8,108.187
751.3,108.187
757.8,107.673
764.3,107.160
770.8,107.673
777.3,107.160
783.8,107.673
790.3,107.673
796.8,105.619
803.3,106.132
809.8,106.646
816.3,107.160
822.8,107.160
829.3,106.132
835.8,106.646
842.3,107.160
848.8,107.160
855.3,107.160
861.8,107.673
868.3,108.701
874.8,107.160
881.3,107.160
887.8,107.673
894.3,107.673
900.8,107.673
907.3,107.160
913.8,107.673
920.3,107.673
926.8,108.701
933.4,108.187
939.9,106.646
946.4,106.646
952.9,107.160
959.4,106.646
965.9,106.646
972.4,108.187
978.9,108.187
985.4,107.673
991.9,107.673
998.4,108.187
1004.9,108.187
1011.4,108.701
1017.9,109.728
1024.4,109.214
1030.9,110.242
1037.4,109.728
1043.9,109.214
1050.4,109.728
1056.9,109.728
1063.4,110.242
1069.9,110.242
1076.4,111.269
1082.9,110.755
1089.4,111.783
1095.9,111.783
1102.4,112.810
1108.9,111.783
1115.4,111.783
1121.9,112.810
1128.4,113.324
1134.9,113.837
1141.4,112.810
1147.9,114.351
1154.4,115.378
1160.9,115.892
1167.4,116.406
1173.9,115.892
1180.4,115.378
1186.9,115.378
1193.5,116.406
1200.0,114.351
1206.5,114.865
1213.0,116.406
1219.5,118.460
1226.0,118.974
1232.5,116.919
1239.0,117.433
1245.5,120.515
1252.0,121.542
1258.5,121.029
1265.0,123.083
1271.5,125.652
1278.0,127.707
1284.5,129.248
1291.0,131.816
1297.5,135.705
1304.0,139.007
1310.5,142.089
1317.0,144.144
1323.5,153.390
1330.0,159.041
1336.5,165.718
1343.0,173.369
1349.5,174.965
1356.0,176.506
1362.5,172.910
1369.0,166.746
1375.5,156.411
1382.0,150.308
1388.5,146.199
1395.0,142.603
1401.5,137.980
1408.0,133.357
1414.5,132.843
1421.0,129.761
1427.5,127.707
1434.0,125.652
1440.5,123.597
1447.1,123.083
1453.6,122.570
1460.1,122.056
1466.6,122.570
1473.1,123.597
1479.6,123.083
1486.1,123.083
1492.6,124.624
1499.1,124.111
1505.6,124.624
1512.1,124.624
1518.6,125.652
1525.1,125.652
1531.6,126.166
1538.1,126.679
1544.6,127.193
1551.1,127.707
1557.6,132.330
1564.1,136.953
1570.6,140.035
1577.1,147.226
1583.6,154.418
1590.1,154.931
1596.6,155.445
1603.1,156.472
1609.6,153.904
1616.1,152.363
1622.6,149.795
1629.1,145.685
1635.6,139.251
1642.1,131.930
1648.6,124.111
1655.1,121.029
1661.6,116.919
1668.1,114.865
1674.6,113.324
1681.1,111.783
1687.6,110.755
1694.1,111.269
1700.6,110.242
1707.2,109.728
1713.7,109.214
1720.2,109.214
1726.7,109.728
1733.2,109.214
1739.7,109.214
1746.2,109.214
1752.7,109.214
1759.2,108.701
1765.7,108.701
1772.2,108.701
1778.7,108.701
1785.2,107.673
1791.7,107.160
1798.2,108.187
1804.7,108.187
1811.2,107.160
1817.7,107.673
1824.2,107.160
1830.7,106.646
1837.2,107.160
1843.7,107.673
1850.2,107.673
1856.7,107.673
1863.2,107.160
1869.7,106.646
1876.2,106.646
1882.7,107.160
1889.2,107.673
1895.7,107.673
1902.2,107.673
1908.7,107.673
1915.2,107.160
1921.7,107.673
1928.2,106.646
1934.7,106.646
1941.2,107.160
1947.7,108.187
1954.2,108.187
1960.8,107.673
1967.3,107.160
1973.8,106.646
1980.3,107.160
1986.8,106.646
1993.3,107.160
1999.8,107.673
2006.3,107.160
2012.8,107.673
2019.3,108.187
2025.8,107.673
2032.3,107.160
2038.8,107.673
2045.3,106.646
2051.8,106.132
2058.3,106.132
2064.8,105.619
2071.3,107.160
2077.8,107.673
2084.3,106.646
2090.8,106.646
2097.3,106.132
2103.8,105.619
2110.3,106.646
2116.8,106.646
2123.3,106.132
2129.8,107.160
2136.3,107.160
2142.8,107.160
2149.3,107.160
2155.8,107.160
2162.3,107.673
2168.8,106.646
2175.3,106.132
2181.8,106.646
2188.3,107.160
2194.8,107.673
2201.3,107.160
2207.8,107.673
2214.3,106.646
2220.9,107.673
2227.4,108.187
2233.9,107.673
2240.4,107.160
2246.9,107.673
2253.4,107.160
2259.9,107.673
2266.4,107.160
2272.9,106.646
2279.4,107.160
2285.9,107.160
2292.4,107.673
2298.9,107.160
2305.4,107.673
2311.9,108.701
2318.4,107.673
2324.9,107.160
2331.4,108.187
2337.9,108.187
2344.4,108.187
2350.9,107.673
2357.4,107.160
2363.9,107.673
2370.4,108.187
2376.9,108.187
2383.4,108.187
2389.9,107.673
2396.4,108.187
2402.9,107.673
2409.4,108.187
2415.9,109.214
2422.4,109.214
2428.9,109.728
2435.4,110.242
2441.9,110.242
2448.4,108.701
2454.9,109.214
2461.4,108.701
2467.9,109.214
2474.5,109.728
2481.0,109.728
2487.5,110.755
2494.0,110.242
2500.5,110.242
2507.0,110.242
2513.5,109.728
2520.0,109.728
2526.5,108.701
2533.0,108.701
2539.5,108.701
2546.0,109.214
2552.5,109.728
2559.0,110.755
2565.5,111.269
2572.0,109.728
2578.5,110.755
2585.0,110.755
2591.5,111.269
2598.0,110.755
2604.5,110.755
2611.0,111.783
2617.5,112.810
2624.0,113.324
2630.5,113.837
2637.0,114.865
2643.5,114.865
2650.0,115.892
2656.5,115.892
2663.0,115.892
2669.5,117.433
2676.0,118.974
2682.5,118.460
2689.0,118.460
2695.5,119.488
2702.0,120.001
2708.5,118.460
2715.0,118.974
2721.5,117.947
2728.0,116.406
2734.6,115.378
2741.1,115.378
2747.6,113.837
2754.1,114.351
2760.6,112.810
2767.1,112.810
2773.6,112.810
2780.1,112.810
2786.6,112.296
2793.1,111.783
2799.6,111.269
2806.1,111.783
2812.6,111.783
2819.1,111.783
2825.6,111.783
2832.1,111.783
2838.6,112.296
2845.1,111.783
2851.6,112.296
2858.1,112.296
2864.6,112.296
2871.1,112.296
2877.6,112.810
2884.1,113.324
2890.6,114.351
2897.1,113.837
2903.6,112.810
2910.1,113.324
2916.6,115.378
2923.1,115.378
2929.6,114.865
2936.1,114.865
2942.6,114.865
2949.1,114.351
2955.6,113.324
2962.1,113.324
2968.6,113.837
2975.1,112.296
2981.6,111.783
2988.2,112.810
2994.7,112.810
3001.2,112.810
3007.7,111.783
