shift_cm_inverse,intensity
504.6,0.1063
509.1,0.1063
513.7,0.1084
518.3,0.1125
522.9,0.1166
527.4,0.1207
532.0,0.1227
536.6,0.1268
541.2,0.1309
545.7,0.1350
550.3,0.1370
554.9,0.1370
559.5,0.1391
564.0,0.1350
568.6,0.1329
573.2,0.1288
577.7,0.1268
582.3,0.1247
586.9,0.1227
591.5,0.1207
596.0,0.1207
600.6,0.1227
605.2,0.1227
609.8,0.1247
614.3,0.1247
618.9,0.1288
623.5,0.1329
628.0,0.1309
632.6,0.1309
637.2,0.1288
641.8,0.1227
646.3,0.1207
650.9,0.1186
655.5,0.1166
660.1,0.1145
664.6,0.1125
669.2,0.1125
673.8,0.1125
678.4,0.1125
682.9,0.1125
687.5,0.1125
692.1,0.1104
696.6,0.1104
701.2,0.1084
705.8,0.1063
710.4,0.1043
714.9,0.1022
719.5,0.1022
724.1,0.1022
728.7,0.1022
733.2,0.1022
737.8,0.1002
742.4,0.1002
747.0,0.1002
751.5,0.0982
756.1,0.0961
760.7,0.0961
765.2,0.0961
769.8,0.0961
774.4,0.0961
779.0,0.0961
783.5,0.0982
788.1,0.1002
792.7,0.1002
797.3,0.1002
801.8,0.1002
806.4,0.1002
811.0,0.1002
815.5,0.1002
820.1,0.1002
824.7,0.1022
829.3,0.1022
833.8,0.1022
838.4,0.1022
843.0,0.1002
847.6,0.0982
852.1,0.0961
856.7,0.0961
861.3,0.0941
865.9,0.0941
870.4,0.0900
875.0,0.0859
879.6,0.0838
884.1,0.0818
888.7,0.0818
893.3,0.0798
897.9,0.0798
902.4,0.0818
907.0,0.0818
911.6,0.0838
916.2,0.0879
920.7,0.0920
925.3,0.0961
929.9,0.0961
934.5,0.0961
939.0,0.0961
943.6,0.0982
948.2,0.0982
952.7,0.0982
957.3,0.1002
961.9,0.1022
966.5,0.1022
971.0,0.1022
975.6,0.1022
980.2,0.1002
984.8,0.0961
989.3,0.0961
993.9,0.0961
998.5,0.0961
1003.0,0.1002
1007.6,0.1002
1012.2,0.1043
1016.8,0.1063
1021.3,0.1125
1025.9,0.1145
1030.5,0.1166
1035.1,0.1166
1039.6,0.1207
1044.2,0.1227
1048.8,0.1247
1053.4,0.1268
1057.9,0.1309
1062.5,0.1350
1067.1,0.1391
1071.6,0.1431
1076.2,0.1493
1080.8,0.1513
1085.4,0.1575
1089.9,0.1616
1094.5,0.1636
1099.1,0.1656
1103.7,0.1656
1108.2,0.1656
1112.8,0.1656
1117.4,0.1656
1122.0,0.1677
1126.5,0.1677
1131.1,0.1677
1135.7,0.1656
1140.2,0.1656
1144.8,0.1656
1149.4,0.1677
1154.0,0.1697
1158.5,0.1697
1163.1,0.1697
1167.7,0.1718
1172.3,0.1718
1176.8,0.1738
1181.4,0.1759
1186.0,0.1779
1190.5,0.1820
1195.1,0.1840
1199.7,0.1861
1204.3,0.1902
1208.8,0.1943
1213.4,0.1984
1218.0,0.2004
1222.6,0.2025
1227.1,0.2025
1231.7,0.2065
1236.3,0.2147
1240.9,0.2188
1245.4,0.2249
1250.0,0.2311
1254.6,0.2372
1259.1,0.2434
1263.7,0.2536
1268.3,0.2618
1272.9,0.2679
1277.4,0.2720
1282.0,0.2863
1286.6,0.2986
1291.2,0.3149
1295.7,0.3292
1300.3,0.3436
1304.9,0.3579
1309.5,0.3742
1314.0,0.3865
1318.6,0.4029
1323.2,0.4070
1327.7,0.4192
1332.3,0.4274
1336.9,0.4376
1341.5,0.4458
1346.0,0.4540
1350.6,0.4540
1355.2,0.4519
1359.8,0.4438
1364.3,0.4294
1368.9,0.4172
1373.5,0.4049
1378.0,0.3947
1382.6,0.3824
1387.2,0.3681
1391.8,0.3517
1396.3,0.3395
1400.9,0.3354
1405.5,0.3252
1410.1,0.3088
1414.6,0.2965
1419.2,0.2863
1423.8,0.2781
1428.4,0.2720
1432.9,0.2658
1437.5,0.2618
1442.1,0.2597
1446.6,0.2577
1451.2,0.2556
1455.8,0.2536
1460.4,0.2495
1464.9,0.2454
1469.5,0.2413
1474.1,0.2413
1478.7,0.2393
1483.2,0.2372
1487.8,0.2372
1492.4,0.2393
1497.0,0.2393
1501.5,0.2413
1506.1,0.2434
1510.7,0.2454
1515.2,0.2495
1519.8,0.2515
1524.4,0.2515
1529.0,0.2515
1533.5,0.2515
1538.1,0.2556
1542.7,0.2618
1547.3,0.2679
1551.8,0.2740
1556.4,0.2802
1561.0,0.2924
1565.5,0.2945
1570.1,0.3088
1574.7,0.3252
1579.3,0.3436
1583.8,0.3579
1588.4,0.3763
1593.0,0.3988
1597.6,0.4090
1602.1,0.3988
1606.7,0.3824
1611.3,0.3538
1615.9,0.3190
1620.4,0.2843
1625.0,0.2536
1629.6,0.2229
1634.1,0.2004
1638.7,0.1779
1643.3,0.1718
1647.9,0.1575
1652.4,0.1452
1657.0,0.1370
1661.6,0.1309
1666.2,0.1247
1670.7,0.1186
1675.3,0.1145
1679.9,0.1104
1684.5,0.1084
1689.0,0.1063
1693.6,0.1063
1698.2,0.1043
1702.7,0.1002
1707.3,0.0982
1711.9,0.0961
1716.5,0.0920
1721.0,0.0879
1725.6,0.0859
1730.2,0.0859
1734.8,0.0859
1739.3,0.0838
1743.9,0.0838
1748.5,0.0859
1753.0,0.0859
1757.6,0.0859
1762.2,0.0859
1766.8,0.0818
1771.3,0.0798
1775.9,0.0777
1780.5,0.0777
1785.1,0.0777
1789.6,0.0777
1794.2,0.0798
1798.8,0.0818
1803.4,0.0818
1807.9,0.0818
1812.5,0.0818
1817.1,0.0798
1821.6,0.0777
1826.2,0.0757
1830.8,0.0757
1835.4,0.0757
1839.9,0.0736
1844.5,0.0736
1849.1,0.0716
1853.7,0.0716
1858.2,0.0716
1862.8,0.0695
1867.4,0.0695
1872.0,0.0695
1876.5,0.0695
1881.1,0.0695
1885.7,0.0695
1890.2,0.0695
1894.8,0.0695
1899.4,0.0695
1904.0,0.0675
1908.5,0.0675
1913.1,0.0675
1917.7,0.0675
1922.3,0.0675
1926.8,0.0675
1931.4,0.0675
1936.0,0.0675
1940.5,0.0695
1945.1,0.0675
1949.7,0.0675
1954.3,0.0675
1958.8,0.0695
1963.4,0.0695
1968.0,0.0695
1972.6,0.0695
1977.1,0.0695
1981.7,0.0695
1986.3,0.0695
1990.9,0.0695
1995.4,0.0695
2000.0,0.0695
2004.6,0.0695
2009.1,0.0695
2013.7,0.0695
2018.3,0.0675
2022.9,0.0675
2027.4,0.0675
2032.0,0.0675
2036.6,0.0675
2041.2,0.0675
2045.7,0.0675
2050.3,0.0695
2054.9,0.0716
2059.5,0.0716
2064.0,0.0716
2068.6,0.0695
2073.2,0.0675
2077.7,0.0675
2082.3,0.0675
2086.9,0.0675
2091.5,0.0675
2096.0,0.0675
2100.6,0.0675
2105.2,0.0675
2109.8,0.0654
2114.3,0.0634
2118.9,0.0613
2123.5,0.0593
2128.0,0.0593
2132.6,0.0593
2137.2,0.0613
2141.8,0.0634
2146.3,0.0634
2150.9,0.0634
2155.5,0.0654
2160.1,0.0695
2164.6,0.0695
2169.2,0.0675
2173.8,0.0654
2178.4,0.0634
2182.9,0.0634
2187.5,0.0634
2192.1,0.0654
2196.6,0.0675
2201.2,0.0695
2205.8,0.0695
2210.4,0.0675
2214.9,0.0675
2219.5,0.0675
2224.1,0.0675
2228.7,0.0675
2233.2,0.0695
2237.8,0.0695
2242.4,0.0675
2247.0,0.0654
2251.5,0.0634
2256.1,0.0634
2260.7,0.0654
2265.2,0.0675
2269.8,0.0675
2274.4,0.0675
2279.0,0.0716
2283.5,0.0736
2288.1,0.0736
2292.7,0.0736
2297.3,0.0736
2301.8,0.0716
2306.4,0.0716
2311.0,0.0716
2315.5,0.0716
2320.1,0.0757
2324.7,0.0757
2329.3,0.0777
2333.8,0.0798
2338.4,0.0777
2343.0,0.0757
2347.6,0.0736
2352.1,0.0736
2356.7,0.0757
2361.3,0.0757
2365.9,0.0777
2370.4,0.0798
2375.0,0.0838
2379.6,0.0859
2384.1,0.0879
2388.7,0.0900
2393.3,0.0920
2397.9,0.0900
2402.4,0.0900
2407.0,0.0900
2411.6,0.0879
2416.2,0.0900
2420.7,0.0920
2425.3,0.0941
2429.9,0.0961
2434.5,0.0961
2439.0,0.0982
2443.6,0.0982
2448.2,0.0961
2452.7,0.0961
2457.3,0.0961
2461.9,0.0961
2466.5,0.1002
2471.0,0.0982
2475.6,0.0982
2480.2,0.0961
2484.8,0.0961
2489.3,0.0961
2493.9,0.0961
2498.5,0.0961
2503.0,0.0982
2507.6,0.1002
2512.2,0.1002
2516.8,0.1002
2521.3,0.1022
2525.9,0.1022
2530.5,0.1043
2535.1,0.1063
2539.6,0.1084
2544.2,0.1084
2548.8,0.1084
2553.4,0.1063
2557.9,0.1063
2562.5,0.1084
2567.1,0.1084
2571.6,0.1084
2576.2,0.1104
2580.8,0.1104
2585.4,0.1125
2589.9,0.1145
2594.5,0.1186
2599.1,0.1166
2603.7,0.1166
2608.2,0.1166
2612.8,0.1166
2617.4,0.1166
2622.0,0.1166
2626.5,0.1186
2631.1,0.1207
2635.7,0.1207
2640.2,0.1227
2644.8,0.1227
2649.4,0.1227
2654.0,0.1207
2658.5,0.1207
2663.1,0.1227
2667.7,0.1227
2672.3,0.1227
2676.8,0.1247
2681.4,0.1268
2686.0,0.1268
2690.5,0.1227
2695.1,0.1227
2699.7,0.1207
2704.3,0.1186
2708.8,0.1186
2713.4,0.1186
2718.0,0.1186
2722.6,0.1207
2727.1,0.1207
2731.7,0.1207
2736.3,0.1227
2740.9,0.1207
2745.4,0.1207
2750.0,0.1207
2754.6,0.1207
2759.1,0.1227
2763.7,0.1247
2768.3,0.1227
2772.9,0.1227
2777.4,0.1207
2782.0,0.1207
2786.6,0.1207
2791.2,0.1207
2795.7,0.1207
2800.3,0.1207
2804.9,0.1207
2809.5,0.1207
2814.0,0.1186
2818.6,0.1186
2823.2,0.1186
2827.7,0.1186
2832.3,0.1186
2836.9,0.1207
2841.5,0.1227
2846.0,0.1207
2850.6,0.1207
2855.2,0.1186
2859.8,0.1186
2864.3,0.1186
2868.9,0.1166
2873.5,0.1166
2878.0,0.1186
2882.6,0.1186
2887.2,0.1207
2891.8,0.1227
2896.3,0.1247
2900.9,0.1268
2905.5,0.1247
2910.1,0.1227
2914.6,0.1227
2919.2,0.1227
2923.8,0.1227
2928.4,0.1247
2932.9,0.1268
2937.5,0.1288
2942.1,0.1309
2946.6,0.1329
2951.2,0.1309
2955.8,0.1268
2960.4,0.1227
2964.9,0.1207
2969.5,0.1186
2974.1,0.1186
2978.7,0.1166
2983.2,0.1125
2987.8,0.1084
2992.4,0.1063
2997.0,0.1043
3001.5,0.1022
3006.1,0.1022
3010.7,0.1022
3015.2,0.1022
3019.8,0.1002
3024.4,0.1002
3029.0,0.0982
3033.5,0.0982
3038.1,0.0982
