baseline,lineshape,bwf_g,peak_set,intensity,material_class,snr_label,n_spectra,rmse,coverage,failure_rate,eligible
als,gaussian,False,DG,area,synthetic_disordered_carbon,15,30,0.17694905366911515,0.26666666666666666,0.0,False
als,gaussian,False,DG,height,synthetic_disordered_carbon,15,30,0.4634953437263972,0.13333333333333333,0.0,False
als,gaussian,False,DGDp,area,synthetic_disordered_carbon,15,30,0.4568006528399164,0.13333333333333333,0.0,False
als,gaussian,False,DGDp,height,synthetic_disordered_carbon,15,30,3.6861294481792286,0.16666666666666666,0.0,False
als,gaussian,False,DGDpD3D4,area,synthetic_disordered_carbon,15,30,0.8320152597752642,0.16666666666666666,0.0,False
als,gaussian,False,DGDpD3D4,height,synthetic_disordered_carbon,15,30,3.406475274476145,0.16666666666666666,0.0,False
als,lorentzian,False,DG,area,synthetic_disordered_carbon,15,30,0.3187437136288177,0.16666666666666666,0.0,False
als,lorentzian,False,DG,height,synthetic_disordered_carbon,15,30,0.7780841345707568,0.13333333333333333,0.0,False
als,lorentzian,False,DGDp,area,synthetic_disordered_carbon,15,30,0.40908387828409193,0.26666666666666666,0.0,False
als,lorentzian,False,DGDp,height,synthetic_disordered_carbon,15,30,3.4793510471391613,0.3,0.0,False
als,lorentzian,False,DGDpD3D4,area,synthetic_disordered_carbon,15,30,1.3624638301802778,0.2,0.0,False
als,lorentzian,False,DGDpD3D4,height,synthetic_disordered_carbon,15,30,1.8110480046721493,0.2,0.0,False
als,lorentzian,True,DG,area,synthetic_disordered_carbon,15,30,,0.0,1.0,False
als,lorentzian,True,DG,height,synthetic_disordered_carbon,15,30,,0.0,1.0,False
als,lorentzian,True,DGDp,area,synthetic_disordered_carbon,15,30,,0.0,1.0,False
als,lorentzian,True,DGDp,height,synthetic_disordered_carbon,15,30,,0.0,1.0,False
als,lorentzian,True,DGDpD3D4,area,synthetic_disordered_carbon,15,30,,0.0,1.0,False
als,lorentzian,True,DGDpD3D4,height,synthetic_disordered_carbon,15,30,,0.0,1.0,False
als,pseudo_voigt,False,DG,area,synthetic_disordered_carbon,15,30,0.3224359424899456,0.2,0.0,False
als,pseudo_voigt,False,DG,height,synthetic_disordered_carbon,15,30,0.6557352429198999,0.16666666666666666,0.0,False
als,pseudo_voigt,False,DGDp,area,synthetic_disordered_carbon,15,30,0.4625061044952354,0.13333333333333333,0.0,False
als,pseudo_voigt,False,DGDp,height,synthetic_disordered_carbon,15,30,2.694806261689673,0.26666666666666666,0.0,False
als,pseudo_voigt,False,DGDpD3D4,area,synthetic_disordered_carbon,15,30,1.1238031018041974,0.06666666666666667,0.0,False
als,pseudo_voigt,False,DGDpD3D4,height,synthetic_disordered_carbon,15,30,1.7896291266790154,0.43333333333333335,0.0,False
linear,gaussian,False,DG,area,synthetic_disordered_carbon,15,30,0.21702484559455548,0.36666666666666664,0.0,False
linear,gaussian,False,DG,height,synthetic_disordered_carbon,15,30,0.3100027621360146,0.3333333333333333,0.0,False
linear,gaussian,False,DGDp,area,synthetic_disordered_carbon,15,30,1.6763596631943956,0.06666666666666667,0.0,False
linear,gaussian,False,DGDp,height,synthetic_disordered_carbon,15,30,1.1507267075472294,0.5,0.0,False
linear,gaussian,False,DGDpD3D4,area,synthetic_disordered_carbon,15,30,1.6683830521100376,0.1,0.0,False
linear,gaussian,False,DGDpD3D4,height,synthetic_disordered_carbon,15,30,0.8761194045707595,0.5333333333333333,0.0,False
linear,lorentzian,False,DG,area,synthetic_disordered_carbon,15,30,0.26907221270696285,0.26666666666666666,0.0,False
linear,lorentzian,False,DG,height,synthetic_disordered_carbon,15,30,0.25421177853858407,0.6333333333333333,0.0,False
linear,lorentzian,False,DGDp,area,synthetic_disordered_carbon,15,30,1.7326542173070916,0.03333333333333333,0.0,False
linear,lorentzian,False,DGDp,height,synthetic_disordered_carbon,15,30,0.6882302061092863,0.36666666666666664,0.0,False
linear,lorentzian,False,DGDpD3D4,area,synthetic_disordered_carbon,15,30,1.724559228500617,0.0,0.0,False
linear,lorentzian,False,DGDpD3D4,height,synthetic_disordered_carbon,15,30,0.7081462736062494,0.3333333333333333,0.0,False
linear,lorentzian,True,DG,area,synthetic_disordered_carbon,15,30,,0.0,1.0,False
linear,lorentzian,True,DG,height,synthetic_disordered_carbon,15,30,,0.0,1.0,False
linear,lorentzian,True,DGDp,area,synthetic_disordered_carbon,15,30,,0.0,1.0,False
linear,lorentzian,True,DGDp,height,synthetic_disordered_carbon,15,30,,0.0,1.0,False
linear,lorentzian,True,DGDpD3D4,area,synthetic_disordered_carbon,15,30,,0.0,1.0,False
linear,lorentzian,True,DGDpD3D4,height,synthetic_disordered_carbon,15,30,,0.0,1.0,False
linear,pseudo_voigt,False,DG,area,synthetic_disordered_carbon,15,30,0.2589925196986788,0.36666666666666664,0.0,False
linear,pseudo_voigt,False,DG,height,synthetic_disordered_carbon,15,30,0.44624062609254933,0.4,0.0,False
linear,pseudo_voigt,False,DGDp,area,synthetic_disordered_carbon,15,30,1.3231001622304663,0.1,0.0,False
linear,pseudo_voigt,False,DGDp,height,synthetic_disordered_carbon,15,30,1.414899975315234,0.43333333333333335,0.0,False
linear,pseudo_voigt,False,DGDpD3D4,area,synthetic_disordered_carbon,15,30,1.33948322315007,0.13333333333333333,0.0,False
linear,pseudo_voigt,False,DGDpD3D4,height,synthetic_disordered_carbon,15,30,1.170862842775606,0.5,0.0,False
poly3,gaussian,False,DG,area,synthetic_disordered_carbon,15,30,0.17413486328130626,0.36666666666666664,0.0,False
poly3,gaussian,False,DG,height,synthetic_disordered_carbon,15,30,0.27022617717409464,0.36666666666666664,0.0,False
poly3,gaussian,False,DGDp,area,synthetic_disordered_carbon,15,30,1.7888452804493966,0.1,0.0,False
poly3,gaussian,False,DGDp,height,synthetic_disordered_carbon,15,30,0.8261915230532554,0.4,0.0,False
poly3,gaussian,False,DGDpD3D4,area,synthetic_disordered_carbon,15,30,1.7725892402602732,0.1,0.0,False
poly3,gaussian,False,DGDpD3D4,height,synthetic_disordered_carbon,15,30,0.8165521994760543,0.4,0.0,False
