lineshape,baseline,peak_set,intensity,n_valid,mean_abs_bias,below_5pct
pseudo_voigt,poly5,DG,area,15,0.005244204470775101,True
gaussian,poly5,DG,area,15,0.005246830725966664,True
lorentzian,linear,DG,area,15,0.006098489112935608,True
lorentzian,poly5,DG,area,15,0.010161336705252426,True
pseudo_voigt,poly3,DG,area,15,0.013884307492749316,True
gaussian,poly3,DG,area,15,0.013885202667850783,True
lorentzian,poly3,DG,area,15,0.017530487382489093,True
gaussian,linear,DG,area,15,0.02856473681320443,True
pseudo_voigt,linear,DG,area,15,0.028579336049952657,True
pseudo_voigt,als,DG,area,15,0.09934786639621447,False
pseudo_voigt,linear,DGDpD3D4,height,15,0.10538038611535024,False
gaussian,als,DG,area,15,0.1105545512397136,False
lorentzian,als,DG,area,15,0.1446805213095187,False
lorentzian,poly5,DG,height,15,0.17464274727473092,False
lorentzian,poly3,DG,height,15,0.18645758109907096,False
pseudo_voigt,linear,DGDp,height,15,0.1936538129054751,False
pseudo_voigt,als,DG,height,15,0.22340845439545234,False
lorentzian,linear,DG,height,15,0.2647725792107087,False
pseudo_voigt,poly5,DG,height,15,0.2808548999036994,False
gaussian,poly5,DG,height,15,0.2808570054394544,False
pseudo_voigt,poly3,DG,height,15,0.2810830714938188,False
gaussian,poly3,DG,height,15,0.28108607279318093,False
lorentzian,als,DG,height,15,0.2931325824604258,False
gaussian,linear,DGDpD3D4,height,15,0.32123569282481973,False
pseudo_voigt,linear,DG,height,15,0.33253376531557005,False
gaussian,linear,DG,height,15,0.3325523025328119,False
pseudo_voigt,poly5,DGDpD3D4,height,15,0.3347348813621125,False
gaussian,als,DGDpD3D4,height,15,0.3422698220871574,False
pseudo_voigt,poly3,DGDpD3D4,height,15,0.3445098188444166,False
lorentzian,linear,DGDp,height,15,0.3481706799126418,False
lorentzian,linear,DGDpD3D4,height,15,0.3483165751298941,False
gaussian,als,DG,height,15,0.3504750059969011,False
gaussian,als,DGDp,height,15,0.35478242667832904,False
gaussian,poly5,DGDpD3D4,height,15,0.3626646570750944,False
gaussian,poly5,DGDp,height,15,0.36283552251616347,False
pseudo_voigt,poly5,DGDp,height,15,0.36285642242970434,False
gaussian,poly3,DGDpD3D4,height,15,0.42792802209464775,False
pseudo_voigt,poly3,DGDp,height,15,0.42937355553501916,False
lorentzian,poly5,DGDp,height,15,0.44946762974058313,False
lorentzian,poly5,DGDpD3D4,height,15,0.4496812127700963,False
lorentzian,als,DGDp,height,15,0.5051993172500855,False
lorentzian,als,DGDpD3D4,height,15,0.5069713920098341,False
lorentzian,poly3,DGDpD3D4,height,15,0.5131205368576356,False
lorentzian,poly3,DGDp,height,15,0.5131756912124232,False
gaussian,linear,DGDp,height,15,0.5414802723011672,False
pseudo_voigt,als,DGDpD3D4,height,15,0.604336159303554,False
gaussian,poly3,DGDp,height,15,0.6195686635601658,False
pseudo_voigt,als,DGDp,height,15,0.814451230590656,False
pseudo_voigt,linear,DGDpD3D4,area,15,1.0372678508197002,False
gaussian,als,DGDpD3D4,area,15,1.0920497095263593,False
gaussian,als,DGDp,area,15,1.0990069298422145,False
lorentzian,als,DGDpD3D4,area,15,1.1983071207542577,False
pseudo_voigt,als,DGDpD3D4,area,15,1.229231083146992,False
pseudo_voigt,linear,DGDp,area,15,1.2422436193575295,False
lorentzian,als,DGDp,area,15,1.2462426872318697,False
lorentzian,poly5,DGDpD3D4,area,15,1.3359582620539998,False
lorentzian,poly5,DGDp,area,15,1.3359737343212126,False
lorentzian,linear,DGDp,area,15,1.351600537690201,False
lorentzian,linear,DGDpD3D4,area,15,1.3516280964905498,False
gaussian,linear,DGDpD3D4,area,15,1.4758135769365703,False
pseudo_voigt,poly5,DGDpD3D4,area,15,1.4928441581220333,False
pseudo_voigt,als,DGDp,area,15,1.507214157607406,False
lorentzian,poly3,DGDpD3D4,area,15,1.5424363706678863,False
lorentzian,poly3,DGDp,area,15,1.5428355917051617,False
pseudo_voigt,poly3,DGDpD3D4,area,15,1.5814388178989005,False
gaussian,poly5,DGDpD3D4,area,15,1.5914301757750342,False
pseudo_voigt,poly5,DGDp,area,15,1.5918434761555085,False
gaussian,poly5,DGDp,area,15,1.5919334505496563,False
gaussian,poly3,DGDpD3D4,area,15,1.7837237597562492,False
pseudo_voigt,poly3,DGDp,area,15,1.8138365320915542,False
gaussian,linear,DGDp,area,15,2.0040041468017353,False
gaussian,poly3,DGDp,area,15,2.193682309532618,False
