case_id,stage,ratio,baseline_label,snr_label,spike,recovery,csv,truth_json,true_id_ig_area,true_id_ig_height
tierA_stage1_r0p1_recovery,1,0.1,none,,False,True,tierA_stage1_r0p1_recovery.csv,tierA_stage1_r0p1_recovery_truth.json,0.1,0.06285714285714285
tierA_stage1_r0p5_recovery,1,0.5,none,,False,True,tierA_stage1_r0p5_recovery.csv,tierA_stage1_r0p5_recovery_truth.json,0.5,0.3142857142857143
tierA_stage1_r1p0_recovery,1,1.0,none,,False,True,tierA_stage1_r1p0_recovery.csv,tierA_stage1_r1p0_recovery_truth.json,1.0,0.6285714285714286
tierA_stage1_r2p0_recovery,1,2.0,none,,False,True,tierA_stage1_r2p0_recovery.csv,tierA_stage1_r2p0_recovery_truth.json,2.0,1.2571428571428571
tierA_stage2_r1p0_recovery,2,1.0,none,,False,True,tierA_stage2_r1p0_recovery.csv,tierA_stage2_r1p0_recovery_truth.json,1.0,0.7777777777777777
tierA_stage1_r0p1_blnone_snr200,1,0.1,none,200.0,False,False,tierA_stage1_r0p1_blnone_snr200.csv,tierA_stage1_r0p1_blnone_snr200_truth.json,0.1,0.06285714285714285
tierA_stage1_r0p1_blnone_snr50,1,0.1,none,50.0,False,False,tierA_stage1_r0p1_blnone_snr50.csv,tierA_stage1_r0p1_blnone_snr50_truth.json,0.1,0.06285714285714285
tierA_stage1_r0p1_blnone_snr15,1,0.1,none,15.0,False,False,tierA_stage1_r0p1_blnone_snr15.csv,tierA_stage1_r0p1_blnone_snr15_truth.json,0.1,0.06285714285714285
tierA_stage1_r0p1_blmild_snr200,1,0.1,mild_cubic,200.0,False,False,tierA_stage1_r0p1_blmild_snr200.csv,tierA_stage1_r0p1_blmild_snr200_truth.json,0.1,0.06285714285714285
tierA_stage1_r0p1_blmild_snr50,1,0.1,mild_cubic,50.0,False,False,tierA_stage1_r0p1_blmild_snr50.csv,tierA_stage1_r0p1_blmild_snr50_truth.json,0.1,0.06285714285714285
tierA_stage1_r0p1_blmild_snr15,1,0.1,mild_cubic,15.0,False,False,tierA_stage1_r0p1_blmild_snr15.csv,tierA_stage1_r0p1_blmild_snr15_truth.json,0.1,0.06285714285714285
tierA_stage1_r0p1_blstrong_snr200,1,0.1,strong_curved,200.0,False,False,tierA_stage1_r0p1_blstrong_snr200.csv,tierA_stage1_r0p1_blstrong_snr200_truth.json,0.1,0.06285714285714285
tierA_stage1_r0p1_blstrong_snr50,1,0.1,strong_curved,50.0,False,False,tierA_stage1_r0p1_blstrong_snr50.csv,tierA_stage1_r0p1_blstrong_snr50_truth.json,0.1,0.06285714285714285
tierA_stage1_r0p1_blstrong_snr15,1,0.1,strong_curved,15.0,False,False,tierA_stage1_r0p1_blstrong_snr15.csv,tierA_stage1_r0p1_blstrong_snr15_truth.json,0.1,0.06285714285714285
tierA_stage1_r0p5_blnone_snr200,1,0.5,none,200.0,False,False,tierA_stage1_r0p5_blnone_snr200.csv,tierA_stage1_r0p5_blnone_snr200_truth.json,0.5,0.3142857142857143
tierA_stage1_r0p5_blnone_snr50,1,0.5,none,50.0,False,False,tierA_stage1_r0p5_blnone_snr50.csv,tierA_stage1_r0p5_blnone_snr50_truth.json,0.5,0.3142857142857143
tierA_stage1_r0p5_blnone_snr15,1,0.5,none,15.0,False,False,tierA_stage1_r0p5_blnone_snr15.csv,tierA_stage1_r0p5_blnone_snr15_truth.json,0.5,0.3142857142857143
tierA_stage1_r0p5_blmild_snr200,1,0.5,mild_cubic,200.0,False,False,tierA_stage1_r0p5_blmild_snr200.csv,tierA_stage1_r0p5_blmild_snr200_truth.json,0.5,0.3142857142857143
tierA_stage1_r0p5_blmild_snr50,1,0.5,mild_cubic,50.0,False,False,tierA_stage1_r0p5_blmild_snr50.csv,tierA_stage1_r0p5_blmild_snr50_truth.json,0.5,0.3142857142857143
tierA_stage1_r0p5_blmild_snr15,1,0.5,mild_cubic,15.0,False,False,tierA_stage1_r0p5_blmild_snr15.csv,tierA_stage1_r0p5_blmild_snr15_truth.json,0.5,0.3142857142857143
tierA_stage1_r0p5_blstrong_snr200,1,0.5,strong_curved,200.0,False,False,tierA_stage1_r0p5_blstrong_snr200.csv,tierA_stage1_r0p5_blstrong_snr200_truth.json,0.5,0.3142857142857143
tierA_stage1_r0p5_blstrong_snr50,1,0.5,strong_curved,50.0,False,False,tierA_stage1_r0p5_blstrong_snr50.csv,tierA_stage1_r0p5_blstrong_snr50_truth.json,0.5,0.3142857142857143
tierA_stage1_r0p5_blstrong_snr15,1,0.5,strong_curved,15.0,False,False,tierA_stage1_r0p5_blstrong_snr15.csv,tierA_stage1_r0p5_blstrong_snr15_truth.json,0.5,0.3142857142857143
tierA_stage1_r1p0_blnone_snr200,1,1.0,none,200.0,False,False,tierA_stage1_r1p0_blnone_snr200.csv,tierA_stage1_r1p0_blnone_snr200_truth.json,1.0,0.6285714285714286
tierA_stage1_r1p0_blnone_snr50,1,1.0,none,50.0,False,False,tierA_stage1_r1p0_blnone_snr50.csv,tierA_stage1_r1p0_blnone_snr50_truth.json,1.0,0.6285714285714286
tierA_stage1_r1p0_blnone_snr15,1,1.0,none,15.0,False,False,tierA_stage1_r1p0_blnone_snr15.csv,tierA_stage1_r1p0_blnone_snr15_truth.json,1.0,0.6285714285714286
tierA_stage1_r1p0_blmild_snr200,1,1.0,mild_cubic,200.0,False,False,tierA_stage1_r1p0_blmild_snr200.csv,tierA_stage1_r1p0_blmild_snr200_truth.json,1.0,0.6285714285714286
tierA_stage1_r1p0_blmild_snr50,1,1.0,mild_cubic,50.0,False,False,tierA_stage1_r1p0_blmild_snr50.csv,tierA_stage1_r1p0_blmild_snr50_truth.json,1.0,0.6285714285714286
tierA_stage1_r1p0_blmild_snr15,1,1.0,mild_cubic,15.0,False,False,tierA_stage1_r1p0_blmild_snr15.csv,tierA_stage1_r1p0_blmild_snr15_truth.json,1.0,0.6285714285714286
tierA_stage1_r1p0_blstrong_snr200,1,1.0,strong_curved,200.0,False,False,tierA_stage1_r1p0_blstrong_snr200.csv,tierA_stage1_r1p0_blstrong_snr200_truth.json,1.0,0.6285714285714286
tierA_stage1_r1p0_blstrong_snr50,1,1.0,strong_curved,50.0,False,False,tierA_stage1_r1p0_blstrong_snr50.csv,tierA_stage1_r1p0_blstrong_snr50_truth.json,1.0,0.6285714285714286
tierA_stage1_r1p0_blstrong_snr15,1,1.0,strong_curved,15.0,False,False,tierA_stage1_r1p0_blstrong_snr15.csv,tierA_stage1_r1p0_blstrong_snr15_truth.json,1.0,0.6285714285714286
tierA_stage1_r2p0_blnone_snr200,1,2.0,none,200.0,False,False,tierA_stage1_r2p0_blnone_snr200.csv,tierA_stage1_r2p0_blnone_snr200_truth.json,2.0,1.2571428571428571
tierA_stage1_r2p0_blnone_snr50,1,2.0,none,50.0,False,False,tierA_stage1_r2p0_blnone_snr50.csv,tierA_stage1_r2p0_blnone_snr50_truth.json,2.0,1.2571428571428571
tierA_stage1_r2p0_blnone_snr15,1,2.0,none,15.0,False,False,tierA_stage1_r2p0_blnone_snr15.csv,tierA_stage1_r2p0_blnone_snr15_truth.json,2.0,1.2571428571428571
tierA_stage1_r2p0_blmild_snr200,1,2.0,mild_cubic,200.0,False,False,tierA_stage1_r2p0_blmild_snr200.csv,tierA_stage1_r2p0_blmild_snr200_truth.json,2.0,1.2571428571428571
tierA_stage1_r2p0_blmild_snr50,1,2.0,mild_cubic,50.0,False,False,tierA_stage1_r2p0_blmild_snr50.csv,tierA_stage1_r2p0_blmild_snr50_truth.json,2.0,1.2571428571428571
tierA_stage1_r2p0_blmild_snr15,1,2.0,mild_cubic,15.0,False,False,tierA_stage1_r2p0_blmild_snr15.csv,tierA_stage1_r2p0_blmild_snr15_truth.json,2.0,1.2571428571428571
tierA_stage1_r2p0_blstrong_snr200,1,2.0,strong_curved,200.0,False,False,tierA_stage1_r2p0_blstrong_snr200.csv,tierA_stage1_r2p0_blstrong_snr200_truth.json,2.0,1.2571428571428571
tierA_stage1_r2p0_blstrong_snr50,1,2.0,strong_curved,50.0,False,False,tierA_stage1_r2p0_blstrong_snr50.csv,tierA_stage1_r2p0_blstrong_snr50_truth.json,2.0,1.2571428571428571
tierA_stage1_r2p0_blstrong_snr15,1,2.0,strong_curved,15.0,False,False,tierA_stage1_r2p0_blstrong_snr15.csv,tierA_stage1_r2p0_blstrong_snr15_truth.json,2.0,1.2571428571428571
tierA_stage2_r1p0_blnone_snr200,2,1.0,none,200.0,False,False,tierA_stage2_r1p0_blnone_snr200.csv,tierA_stage2_r1p0_blnone_snr200_truth.json,1.0,0.7777777777777777
tierA_stage2_r1p0_blnone_snr50,2,1.0,none,50.0,False,False,tierA_stage2_r1p0_blnone_snr50.csv,tierA_stage2_r1p0_blnone_snr50_truth.json,1.0,0.7777777777777777
tierA_stage2_r1p0_blnone_snr15,2,1.0,none,15.0,False,False,tierA_stage2_r1p0_blnone_snr15.csv,tierA_stage2_r1p0_blnone_snr15_truth.json,1.0,0.7777777777777777
tierA_stage2_r1p0_blmild_snr200,2,1.0,mild_cubic,200.0,False,False,tierA_stage2_r1p0_blmild_snr200.csv,tierA_stage2_r1p0_blmild_snr200_truth.json,1.0,0.7777777777777777
tierA_stage2_r1p0_blmild_snr50,2,1.0,mild_cubic,50.0,False,False,tierA_stage2_r1p0_blmild_snr50.csv,tierA_stage2_r1p0_blmild_snr50_truth.json,1.0,0.7777777777777777
tierA_stage2_r1p0_blmild_snr15,2,1.0,mild_cubic,15.0,False,False,tierA_stage2_r1p0_blmild_snr15.csv,tierA_stage2_r1p0_blmild_snr15_truth.json,1.0,0.7777777777777777
tierA_stage2_r1p0_blstrong_snr200,2,1.0,strong_curved,200.0,False,False,tierA_stage2_r1p0_blstrong_snr200.csv,tierA_stage2_r1p0_blstrong_snr200_truth.json,1.0,0.7777777777777777
tierA_stage2_r1p0_blstrong_snr50,2,1.0,strong_curved,50.0,False,False,tierA_stage2_r1p0_blstrong_snr50.csv,tierA_stage2_r1p0_blstrong_snr50_truth.json,1.0,0.7777777777777777
tierA_stage2_r1p0_blstrong_snr15,2,1.0,strong_curved,15.0,False,False,tierA_stage2_r1p0_blstrong_snr15.csv,tierA_stage2_r1p0_blstrong_snr15_truth.json,1.0,0.7777777777777777
